Demographic_Type,Demographic,Vote_R
National,National,NA
Party,Dem,NA
Party,Rep,NA
Party,Ind,NA
Gender,Male,NA
Gender,Female,NA
Age,18 - 24,NA
Age,25 - 34,NA
Age,35 - 44,NA
Age,45 - 54,NA
Age,> 54,NA
Race,White,NA
Race,Hispanic,NA
Race,Black,NA
Race,Other,NA
Education,No Bachelors,NA
Education,Bachelors,NA
Urbanicity,R1,NA
Urbanicity,R2,NA
Urbanicity,S3,NA
Urbanicity,S4,NA
Urbanicity,U5,NA
Urbanicity,U6,NA
Married,Unmarried,NA
Married,Married,NA
Party Gender,Dem Male,NA
Party Gender,Dem Female,NA
Party Gender,Rep Male,NA
Party Gender,Rep Female,NA
Party Gender,Ind Male,NA
Party Gender,Ind Female,NA
Party Age,Dem 18 - 24,NA
Party Age,Dem 25 - 34,NA
Party Age,Dem 35 - 44,NA
Party Age,Dem 45 - 54,NA
Party Age,Dem > 54,NA
Party Age,Rep 18 - 24,NA
Party Age,Rep 25 - 34,NA
Party Age,Rep 35 - 44,NA
Party Age,Rep 45 - 54,NA
Party Age,Rep > 54,NA
Party Age,Ind 18 - 24,NA
Party Age,Ind 25 - 34,NA
Party Age,Ind 35 - 44,NA
Party Age,Ind 45 - 54,NA
Party Age,Ind > 54,NA
Party Race,Dem White,NA
Party Race,Dem Hispanic,NA
Party Race,Dem Black,NA
Party Race,Dem Other,NA
Party Race,Rep White,NA
Party Race,Rep Hispanic,NA
Party Race,Rep Black,NA
Party Race,Rep Other,NA
Party Race,Ind White,NA
Party Race,Ind Hispanic,NA
Party Race,Ind Black,NA
Party Race,Ind Other,NA
Party Education,Dem No Bachelors,NA
Party Education,Dem Bachelors,NA
Party Education,Rep No Bachelors,NA
Party Education,Rep Bachelors,NA
Party Education,Ind No Bachelors,NA
Party Education,Ind Bachelors,NA
Party Urbanicity,Dem R1,NA
Party Urbanicity,Dem R2,NA
Party Urbanicity,Dem S3,NA
Party Urbanicity,Dem S4,NA
Party Urbanicity,Dem U5,NA
Party Urbanicity,Dem U6,NA
Party Urbanicity,Rep R1,NA
Party Urbanicity,Rep R2,NA
Party Urbanicity,Rep S3,NA
Party Urbanicity,Rep S4,NA
Party Urbanicity,Rep U5,NA
Party Urbanicity,Rep U6,NA
Party Urbanicity,Ind R1,NA
Party Urbanicity,Ind R2,NA
Party Urbanicity,Ind S3,NA
Party Urbanicity,Ind S4,NA
Party Urbanicity,Ind U5,NA
Party Urbanicity,Ind U6,NA
Party Married,Dem Unmarried,NA
Party Married,Dem Married,NA
Party Married,Rep Unmarried,NA
Party Married,Rep Married,NA
Party Married,Ind Unmarried,NA
Party Married,Ind Married,NA
Gender Age,Male 18 - 24,NA
Gender Age,Male 25 - 34,NA
Gender Age,Male 35 - 44,NA
Gender Age,Male 45 - 54,NA
Gender Age,Male > 54,NA
Gender Age,Female 18 - 24,NA
Gender Age,Female 25 - 34,NA
Gender Age,Female 35 - 44,NA
Gender Age,Female 45 - 54,NA
Gender Age,Female > 54,NA
Gender Race,Male White,NA
Gender Race,Male Hispanic,NA
Gender Race,Male Black,NA
Gender Race,Male Other,NA
Gender Race,Female White,NA
Gender Race,Female Hispanic,NA
Gender Race,Female Black,NA
Gender Race,Female Other,NA
Gender Education,Male No Bachelors,NA
Gender Education,Male Bachelors,NA
Gender Education,Female No Bachelors,NA
Gender Education,Female Bachelors,NA
Gender Urbanicity,Male R1,NA
Gender Urbanicity,Male R2,NA
Gender Urbanicity,Male S3,NA
Gender Urbanicity,Male S4,NA
Gender Urbanicity,Male U5,NA
Gender Urbanicity,Male U6,NA
Gender Urbanicity,Female R1,NA
Gender Urbanicity,Female R2,NA
Gender Urbanicity,Female S3,NA
Gender Urbanicity,Female S4,NA
Gender Urbanicity,Female U5,NA
Gender Urbanicity,Female U6,NA
Gender Married,Male Unmarried,NA
Gender Married,Male Married,NA
Gender Married,Female Unmarried,NA
Gender Married,Female Married,NA
Age Race,18 - 24 White,NA
Age Race,18 - 24 Hispanic,NA
Age Race,18 - 24 Black,NA
Age Race,18 - 24 Other,NA
Age Race,25 - 34 White,NA
Age Race,25 - 34 Hispanic,NA
Age Race,25 - 34 Black,NA
Age Race,25 - 34 Other,NA
Age Race,35 - 44 White,NA
Age Race,35 - 44 Hispanic,NA
Age Race,35 - 44 Black,NA
Age Race,35 - 44 Other,NA
